#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 40 % cholesterol
# simulations from http://doi.org/10.5281/zenodo.61992
#
# q ;  FF(q) ; error of mean over time steps
  0.5670  22.79413303 5.78369614
  0.5680  22.71192806 5.78338937
  0.5690  22.61166039 5.78291451
  0.5700  22.49359566 5.78230048
  0.5710  22.35800723 5.78157691
  0.5720  22.20517593 5.78077388
  0.5730  22.03538982 5.77992157
  0.5740  21.84894401 5.77904993
  0.5750  21.64614037 5.77818833
  0.5760  21.42728739 5.77736520
  0.5770  21.19269985 5.77660766
  0.5780  20.94269867 5.77594119
  0.5790  20.67761061 5.77538920
  0.5800  20.39776809 5.77497270
  0.5810  20.10350888 5.77470993
  0.5820  19.79517595 5.77461599
  0.5830  19.47311712 5.77470246
  0.5840  19.13768493 5.77497707
  0.5850  18.78923628 5.77544335
  0.5860  18.42813229 5.77610025
  0.5870  18.05473798 5.77694179
  0.5880  17.66942207 5.77795675
  0.5890  17.27255670 5.77912830
  0.5900  16.86451722 5.78043364
  0.5910  16.44568190 5.78184361
  0.5920  16.01643176 5.78332236
  0.5930  15.57715024 5.78482690
  0.5940  15.12822303 5.78630669
  0.5950  14.67003783 5.78770308
  0.5960  14.20298408 5.78894884
  0.5970  13.72745278 5.78996739
  0.5980  13.24383625 5.79067209
  0.5990  12.75252793 5.79096521
  0.6000  12.25392220 5.79073669
  0.6010  11.74841419 5.78986259
  0.6020  11.23639963 5.78820303
  0.6030  10.71827470 5.78559950
  0.6040  10.19443602 5.78187125
  0.6050  9.66528054 5.77681044
  0.6060  9.13120564 5.77017545
  0.6070  8.59260928 5.76168167
  0.6080  8.04989034 5.75098842
  0.6090  7.50344925 5.73768026
  0.6100  6.95368894 5.72123977
  0.6110  6.40101651 5.70100676
  0.6120  5.84584598 5.67611604
  0.6130  5.28860287 5.64539921
  0.6140  4.72973225 5.60722439
  0.6150  4.16971348 5.55922392
  0.6160  3.60908879 5.49780838
  0.6170  3.04852354 5.41724881
  0.6180  2.48894752 5.30782583
  0.6190  1.93193923 5.15183718
  0.6200  1.38102333 4.91482351
  0.6210  0.84787881 4.53651589
  0.6220  0.40663603 4.38500555
  0.6230  0.49292742 -327.04057436
  0.6240  0.97295357 -10.15430302
  0.6250  1.50655799 -7.92127495
  0.6260  2.05040160 -7.20386086
  0.6270  2.59623933 -6.84821177
  0.6280  3.14130953 -6.63224294
  0.6290  3.68430598 -6.48412802
  0.6300  4.22444288 -6.37380601
  0.6310  4.76116002 -6.28654256
  0.6320  5.29400972 -6.21429922
  0.6330  5.82260710 -6.15233953
  0.6340  6.34660593 -6.09770783
  0.6350  6.86568588 -6.04847745
  0.6360  7.37954553 -6.00334966
  0.6370  7.88789815 -5.96142622
  0.6380  8.39046920 -5.92207377
  0.6390  8.88699478 -5.88483932
  0.6400  9.37722057 -5.84939584
  0.6410  9.86090122 -5.81550588
  0.6420  10.33779986 -5.78299682
  0.6430  10.80768786 -5.75174340
  0.6440  11.27034459 -5.72165530
  0.6450  11.72555734 -5.69266807
  0.6460  12.17312119 -5.66473638
  0.6470  12.61283900 -5.63782899
  0.6480  13.04452135 -5.61192493
  0.6490  13.46798654 -5.58701058
  0.6500  13.88306057 -5.56307735
  0.6510  14.28957714 -5.54012002
  0.6520  14.68737764 -5.51813527
  0.6530  15.07631118 -5.49712070
  0.6540  15.45623457 -5.47707396
  0.6550  15.82701228 -5.45799213
  0.6560  16.18851652 -5.43987120
  0.6570  16.54062716 -5.42270576
  0.6580  16.88323177 -5.40648865
  0.6590  17.21622554 -5.39121081
  0.6600  17.53951136 -5.37686115
  0.6610  17.85299969 -5.36342645
  0.6620  18.15660864 -5.35089133
  0.6630  18.45026384 -5.33923828
  0.6640  18.73389848 -5.32844765
  0.6650  19.00745323 -5.31849777
  0.6660  19.27087622 -5.30936500
  0.6670  19.52412297 -5.30102383
  0.6680  19.76715636 -5.29344704
  0.6690  19.99994655 -5.28660585
  0.6700  20.22247094 -5.28047004
  0.6710  20.43471409 -5.27500816
  0.6720  20.63666766 -5.27018771
  0.6730  20.82833032 -5.26597534
  0.6740  21.00970770 -5.26233706
  0.6750  21.18081229 -5.25923846
  0.6760  21.34166334 -5.25664492
  0.6770  21.49228681 -5.25452187
  0.6780  21.63271524 -5.25283500
  0.6790  21.76298766 -5.25155050
  0.6800  21.88314953 -5.25063532
  0.6810  21.99325255 -5.25005735
  0.6820  22.09335466 -5.24978571
  0.6830  22.18351983 -5.24979091
  0.6840  22.26381802 -5.25004514
  0.6850  22.33432502 -5.25052236
  0.6860  22.39512237 -5.25119860
  0.6870  22.44629718 -5.25205204
  0.6880  22.48794206 -5.25306320
  0.6890  22.52015498 -5.25421506
  0.6900  22.54303911 -5.25549318
  0.6910  22.55670272 -5.25688573
  0.6920  22.56125905 -5.25838363
  0.6930  22.55682614 -5.25998050
  0.6940  22.54352674 -5.26167269
  0.6950  22.52148811 -5.26345929
  0.6960  22.49084195 -5.26534202
  0.6970  22.45172418 -5.26732520
  0.6980  22.40427486 -5.26941564
  0.6990  22.34863802 -5.27162247
  0.7000  22.28496151 -5.27395705
  0.7010  22.21339684 -5.27643278
  0.7020  22.13409908 -5.27906490
  0.7030  22.04722664 -5.28187029
  0.7040  21.95294120 -5.28486726
  0.7050  21.85140747 -5.28807532
  0.7060  21.74279313 -5.29151493
  0.7070  21.62726861 -5.29520728
  0.7080  21.50500697 -5.29917399
  0.7090  21.37618374 -5.30343691
  0.7100  21.24097680 -5.30801785
  0.7110  21.09956615 -5.31293829
  0.7120  20.95213386 -5.31821920
  0.7130  20.79886383 -5.32388075
  0.7140  20.63994172 -5.32994209
  0.7150  20.47555472 -5.33642112
  0.7160  20.30589149 -5.34333429
