#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.4100  28.93718648 -2.98508511
  0.4110  30.26389102 -2.98708287
  0.4120  31.57337873 -2.98920079
  0.4130  32.86521056 -2.99144667
  0.4140  34.13895923 -2.99382595
  0.4150  35.39420923 -2.99634217
  0.4160  36.63055695 -2.99899740
  0.4170  37.84761070 -3.00179254
  0.4180  39.04499082 -3.00472761
  0.4190  40.22232972 -3.00780185
  0.4200  41.37927197 -3.01101397
  0.4210  42.51547435 -3.01436223
  0.4220  43.63060591 -3.01784455
  0.4230  44.72434800 -3.02145858
  0.4240  45.79639435 -3.02520179
  0.4250  46.84645108 -3.02907150
  0.4260  47.87423678 -3.03306496
  0.4270  48.87948248 -3.03717933
  0.4280  49.86193172 -3.04141178
  0.4290  50.82134054 -3.04575948
  0.4300  51.75747751 -3.05021960
  0.4310  52.67012375 -3.05478937
  0.4320  53.55907290 -3.05946607
  0.4330  54.42413110 -3.06424707
  0.4340  55.26511706 -3.06912979
  0.4350  56.08186196 -3.07411175
  0.4360  56.87420946 -3.07919056
  0.4370  57.64201567 -3.08436394
  0.4380  58.38514913 -3.08962971
  0.4390  59.10349074 -3.09498579
  0.4400  59.79693375 -3.10043022
  0.4410  60.46538369 -3.10596115
  0.4420  61.10875830 -3.11157685
  0.4430  61.72698751 -3.11727572
  0.4440  62.32001334 -3.12305625
  0.4450  62.88778982 -3.12891708
  0.4460  63.43028297 -3.13485697
  0.4470  63.94747063 -3.14087478
  0.4480  64.43934247 -3.14696953
  0.4490  64.90589981 -3.15314034
  0.4500  65.34715558 -3.15938648
  0.4510  65.76313421 -3.16570733
  0.4520  66.15387148 -3.17210242
  0.4530  66.51941447 -3.17857140
  0.4540  66.85982141 -3.18511406
  0.4550  67.17516157 -3.19173033
  0.4560  67.46551511 -3.19842027
  0.4570  67.73097301 -3.20518409
  0.4580  67.97163685 -3.21202214
  0.4590  68.18761875 -3.21893491
  0.4600  68.37904121 -3.22592305
  0.4610  68.54603692 -3.23298733
  0.4620  68.68874868 -3.24012871
  0.4630  68.80732918 -3.24734826
  0.4640  68.90194090 -3.25464724
  0.4650  68.97275592 -3.26202705
  0.4660  69.01995575 -3.26948925
  0.4670  69.04373119 -3.27703556
  0.4680  69.04428214 -3.28466785
  0.4690  69.02181741 -3.29238816
  0.4700  68.97655461 -3.30019870
  0.4710  68.90871990 -3.30810183
  0.4720  68.81854782 -3.31610007
  0.4730  68.70628116 -3.32419613
  0.4740  68.57217071 -3.33239284
  0.4750  68.41647509 -3.34069322
  0.4760  68.23946057 -3.34910046
  0.4770  68.04140088 -3.35761787
  0.4780  67.82257700 -3.36624897
  0.4790  67.58327694 -3.37499738
  0.4800  67.32379559 -3.38386692
  0.4810  67.04443450 -3.39286153
  0.4820  66.74550166 -3.40198530
  0.4830  66.42731129 -3.41124246
  0.4840  66.09018368 -3.42063738
  0.4850  65.73444492 -3.43017457
  0.4860  65.36042676 -3.43985862
  0.4870  64.96846635 -3.44969429
  0.4880  64.55890601 -3.45968639
  0.4890  64.13209311 -3.46983987
  0.4900  63.68837976 -3.48015975
  0.4910  63.22812264 -3.49065112
  0.4920  62.75168280 -3.50131913
  0.4930  62.25942542 -3.51216900
  0.4940  61.75171960 -3.52320595
  0.4950  61.22893816 -3.53443527
  0.4960  60.69145742 -3.54586220
  0.4970  60.13965697 -3.55749200
  0.4980  59.57391947 -3.56932989
  0.4990  58.99463045 -3.58138104
  0.5000  58.40217806 -3.59365053
  0.5010  57.79695291 -3.60614336
  0.5020  57.17934779 -3.61886442
  0.5030  56.54975751 -3.63181843
  0.5040  55.90857868 -3.64500997
  0.5050  55.25620948 -3.65844341
  0.5060  54.59304948 -3.67212290
  0.5070  53.91949940 -3.68605234
  0.5080  53.23596094 -3.70023533
  0.5090  52.54283652 -3.71467520
  0.5100  51.84052916 -3.72937488
  0.5110  51.12944218 -3.74433696
  0.5120  50.40997907 -3.75956360
  0.5130  49.68254326 -3.77505649
  0.5140  48.94753796 -3.79081687
  0.5150  48.20536588 -3.80684543
  0.5160  47.45642914 -3.82314228
  0.5170  46.70112900 -3.83970695
  0.5180  45.93986571 -3.85653829
  0.5190  45.17303833 -3.87363450
  0.5200  44.40104449 -3.89099299
  0.5210  43.62428029 -3.90861042
  0.5220  42.84314004 -3.92648262
  0.5230  42.05801613 -3.94460454
  0.5240  41.26929886 -3.96297019
  0.5250  40.47737623 -3.98157263
  0.5260  39.68263381 -4.00040387
  0.5270  38.88545455 -4.01945488
  0.5280  38.08621862 -4.03871547
  0.5290  37.28530326 -4.05817429
  0.5300  36.48308262 -4.07781872
  0.5310  35.67992759 -4.09763490
  0.5320  34.87620570 -4.11760757
  0.5330  34.07228090 -4.13772011
  0.5340  33.26851347 -4.15795439
  0.5350  32.46525988 -4.17829076
  0.5360  31.66287261 -4.19870800
